"condition","node","step","level"
"IL2","TCR",191,0.25
"IL2","TCR",192,0.285
"IL2","TCR",193,0.29
"IL2","TCR",194,0.32
"IL2","TCR",195,0.38
"IL2","TCR",196,0.41
"IL2","TCR",197,0.45
"IL2","TCR",198,0.485
"IL2","TCR",199,0.52
"IL2","TCR",200,0.555
"IL2","CD45RA",0,1
"IL2","CD45RA",1,1
"IL2","CD45RA",2,1
"IL2","CD45RA",3,1
"IL2","CD45RA",4,1
"IL2","CD45RA",5,1
"IL2","CD45RA",6,1
"IL2","CD45RA",7,1
"IL2","CD45RA",8,1
"IL2","CD45RA",9,1
"IL2","CD45RA",10,1
"IL2","CD45RA",11,1
"IL2","CD45RA",12,1
"IL2","CD45RA",13,1
"IL2","CD45RA",14,1
"IL2","CD45RA",15,1
"IL2","CD45RA",16,1
"IL2","CD45RA",17,1
"IL2","CD45RA",18,1
"IL2","CD45RA",19,1
"IL2","CD45RA",20,1
"IL2","CD45RA",21,1
"IL2","CD45RA",22,1
"IL2","CD45RA",23,1
"IL2","CD45RA",24,1
"IL2","CD45RA",25,1
"IL2","CD45RA",26,1
"IL2","CD45RA",27,1
"IL2","CD45RA",28,1
"IL2","CD45RA",29,1
"IL2","CD45RA",30,1
"IL2","CD45RA",31,1
"IL2","CD45RA",32,1
"IL2","CD45RA",33,1
"IL2","CD45RA",34,1
"IL2","CD45RA",35,1
"IL2","CD45RA",36,1
"IL2","CD45RA",37,1
"IL2","CD45RA",38,1
"IL2","CD45RA",39,1
"IL2","CD45RA",40,1
"IL2","CD45RA",41,1
"IL2","CD45RA",42,1
"IL2","CD45RA",43,1
"IL2","CD45RA",44,1
"IL2","CD45RA",45,1
"IL2","CD45RA",46,1
"IL2","CD45RA",47,1
"IL2","CD45RA",48,1
"IL2","CD45RA",49,1
"IL2","CD45RA",50,1
"IL2","CD45RA",51,1
"IL2","CD45RA",52,1
"IL2","CD45RA",53,1
"IL2","CD45RA",54,1
"IL2","CD45RA",55,1
"IL2","CD45RA",56,1
"IL2","CD45RA",57,1
"IL2","CD45RA",58,1
"IL2","CD45RA",59,1
"IL2","CD45RA",60,1
"IL2","CD45RA",61,1
"IL2","CD45RA",62,1
"IL2","CD45RA",63,1
"IL2","CD45RA",64,1
"IL2","CD45RA",65,1
"IL2","CD45RA",66,1
"IL2","CD45RA",67,1
"IL2","CD45RA",68,1
"IL2","CD45RA",69,1
"IL2","CD45RA",70,1
"IL2","CD45RA",71,1
"IL2","CD45RA",72,1
"IL2","CD45RA",73,1
"IL2","CD45RA",74,1
"IL2","CD45RA",75,1
"IL2","CD45RA",76,1
"IL2","CD45RA",77,1
"IL2","CD45RA",78,1
"IL2","CD45RA",79,1
"IL2","CD45RA",80,1
"IL2","CD45RA",81,1
"IL2","CD45RA",82,1
"IL2","CD45RA",83,1
"IL2","CD45RA",84,1
"IL2","CD45RA",85,1
"IL2","CD45RA",86,1
"IL2","CD45RA",87,1
"IL2","CD45RA",88,1
"IL2","CD45RA",89,1
"IL2","CD45RA",90,1
"IL2","CD45RA",91,1
"IL2","CD45RA",92,1
"IL2","CD45RA",93,1
"IL2","CD45RA",94,1
"IL2","CD45RA",95,1
"IL2","CD45RA",96,1
"IL2","CD45RA",97,1
"IL2","CD45RA",98,1
"IL2","CD45RA",99,1
"IL2","CD45RA",100,1
"IL2","CD45RA",101,1
"IL2","CD45RA",102,1
"IL2","CD45RA",103,1
"IL2","CD45RA",104,1
"IL2","CD45RA",105,1
"IL2","CD45RA",106,1
"IL2","CD45RA",107,1
"IL2","CD45RA",108,1
"IL2","CD45RA",109,1
"IL2","CD45RA",110,1
"IL2","CD45RA",111,1
"IL2","CD45RA",112,1
"IL2","CD45RA",113,1
"IL2","CD45RA",114,1
"IL2","CD45RA",115,1
"IL2","CD45RA",116,1
"IL2","CD45RA",117,1
"IL2","CD45RA",118,1
"IL2","CD45RA",119,1
"IL2","CD45RA",120,1
"IL2","CD45RA",121,1
"IL2","CD45RA",122,1
"IL2","CD45RA",123,1
"IL2","CD45RA",124,1
"IL2","CD45RA",125,1
"IL2","CD45RA",126,1
"IL2","CD45RA",127,1
"IL2","CD45RA",128,1
"IL2","CD45RA",129,1
"IL2","CD45RA",130,1
"IL2","CD45RA",131,1
"IL2","CD45RA",132,1
"IL2","CD45RA",133,1
"IL2","CD45RA",134,1
"IL2","CD45RA",135,1
"IL2","CD45RA",136,1
"IL2","CD45RA",137,1
"IL2","CD45RA",138,1
"IL2","CD45RA",139,1
"IL2","CD45RA",140,1
"IL2","CD45RA",141,1
"IL2","CD45RA",142,1
"IL2","CD45RA",143,1
"IL2","CD45RA",144,1
"IL2","CD45RA",145,1
"IL2","CD45RA",146,1
"IL2","CD45RA",147,1
"IL2","CD45RA",148,1
"IL2","CD45RA",149,1
"IL2","CD45RA",150,1
"IL2","CD45RA",151,1
"IL2","CD45RA",152,1
"IL2","CD45RA",153,1
"IL2","CD45RA",154,1
"IL2","CD45RA",155,1
"IL2","CD45RA",156,1
"IL2","CD45RA",157,1
"IL2","CD45RA",158,1
"IL2","CD45RA",159,1
"IL2","CD45RA",160,1
"IL2","CD45RA",161,1
"IL2","CD45RA",162,1
"IL2","CD45RA",163,1
"IL2","CD45RA",164,1
"IL2","CD45RA",165,1
"IL2","CD45RA",166,1
"IL2","CD45RA",167,1
"IL2","CD45RA",168,1
"IL2","CD45RA",169,1
"IL2","CD45RA",170,1
"IL2","CD45RA",171,1
"IL2","CD45RA",172,1
"IL2","CD45RA",173,1
"IL2","CD45RA",174,1
"IL2","CD45RA",175,1
"IL2","CD45RA",176,1
"IL2","CD45RA",177,1
"IL2","CD45RA",178,1
"IL2","CD45RA",179,1
"IL2","CD45RA",180,1
"IL2","CD45RA",181,1
"IL2","CD45RA",182,1
"IL2","CD45RA",183,1
"IL2","CD45RA",184,1
"IL2","CD45RA",185,1
"IL2","CD45RA",186,1
"IL2","CD45RA",187,1
"IL2","CD45RA",188,1
"IL2","CD45RA",189,1
"IL2","CD45RA",190,1
"IL2","CD45RA",191,1
"IL2","CD45RA",192,1
"IL2","CD45RA",193,1
"IL2","CD45RA",194,1
"IL2","CD45RA",195,1
"IL2","CD45RA",196,1
"IL2","CD45RA",197,1
"IL2","CD45RA",198,1
"IL2","CD45RA",199,1
"IL2","CD45RA",200,1
"IL2","CD45RO",0,1
"IL2","CD45RO",1,1
"IL2","CD45RO",2,1
"IL2","CD45RO",3,1
"IL2","CD45RO",4,1
"IL2","CD45RO",5,1
"IL2","CD45RO",6,1
"IL2","CD45RO",7,1
"IL2","CD45RO",8,1
"IL2","CD45RO",9,1
"IL2","CD45RO",10,1
"IL2","CD45RO",11,1
"IL2","CD45RO",12,1
"IL2","CD45RO",13,1
"IL2","CD45RO",14,1
"IL2","CD45RO",15,1
"IL2","CD45RO",16,1
"IL2","CD45RO",17,1
"IL2","CD45RO",18,1
"IL2","CD45RO",19,1
"IL2","CD45RO",20,1
"IL2","CD45RO",21,1
"IL2","CD45RO",22,1
"IL2","CD45RO",23,1
"IL2","CD45RO",24,1
"IL2","CD45RO",25,1
"IL2","CD45RO",26,1
"IL2","CD45RO",27,1
"IL2","CD45RO",28,1
"IL2","CD45RO",29,1
"IL2","CD45RO",30,1
"IL2","CD45RO",31,1
"IL2","CD45RO",32,1
"IL2","CD45RO",33,1
"IL2","CD45RO",34,1
"IL2","CD45RO",35,1
"IL2","CD45RO",36,1
"IL2","CD45RO",37,1
"IL2","CD45RO",38,1
"IL2","CD45RO",39,1
"IL2","CD45RO",40,1
"IL2","CD45RO",41,1
"IL2","CD45RO",42,1
"IL2","CD45RO",43,1
"IL2","CD45RO",44,1
"IL2","CD45RO",45,1
"IL2","CD45RO",46,1
"IL2","CD45RO",47,1
"IL2","CD45RO",48,1
"IL2","CD45RO",49,1
"IL2","CD45RO",50,1
"IL2","CD45RO",51,1
"IL2","CD45RO",52,1
"IL2","CD45RO",53,1
"IL2","CD45RO",54,1
"IL2","CD45RO",55,1
"IL2","CD45RO",56,1
"IL2","CD45RO",57,1
"IL2","CD45RO",58,1
"IL2","CD45RO",59,1
"IL2","CD45RO",60,1
"IL2","CD45RO",61,1
"IL2","CD45RO",62,1
"IL2","CD45RO",63,1
"IL2","CD45RO",64,1
"IL2","CD45RO",65,1
"IL2","CD45RO",66,1
"IL2","CD45RO",67,1
"IL2","CD45RO",68,1
"IL2","CD45RO",69,1
"IL2","CD45RO",70,1
"IL2","CD45RO",71,1
"IL2","CD45RO",72,1
"IL2","CD45RO",73,1
"IL2","CD45RO",74,1
"IL2","CD45RO",75,1
"IL2","CD45RO",76,1
"IL2","CD45RO",77,1
"IL2","CD45RO",78,1
"IL2","CD45RO",79,1
"IL2","CD45RO",80,1
"IL2","CD45RO",81,1
"IL2","CD45RO",82,1
"IL2","CD45RO",83,1
"IL2","CD45RO",84,1
"IL2","CD45RO",85,1
"IL2","CD45RO",86,1
"IL2","CD45RO",87,1
"IL2","CD45RO",88,1
"IL2","CD45RO",89,1
"IL2","CD45RO",90,1
"IL2","CD45RO",91,1
"IL2","CD45RO",92,1
"IL2","CD45RO",93,1
"IL2","CD45RO",94,1
"IL2","CD45RO",95,1
"IL2","CD45RO",96,1
"IL2","CD45RO",97,1
"IL2","CD45RO",98,1
"IL2","CD45RO",99,1
"IL2","CD45RO",100,1
"IL2","CD45RO",101,1
"IL2","CD45RO",102,1
"IL2","CD45RO",103,1
"IL2","CD45RO",104,1
"IL2","CD45RO",105,1
"IL2","CD45RO",106,1
"IL2","CD45RO",107,1
"IL2","CD45RO",108,1
"IL2","CD45RO",109,1
"IL2","CD45RO",110,1
"IL2","CD45RO",111,1
"IL2","CD45RO",112,1
"IL2","CD45RO",113,1
"IL2","CD45RO",114,1
"IL2","CD45RO",115,1
"IL2","CD45RO",116,1
"IL2","CD45RO",117,1
"IL2","CD45RO",118,1
"IL2","CD45RO",119,1
"IL2","CD45RO",120,1
"IL2","CD45RO",121,1
"IL2","CD45RO",122,1
"IL2","CD45RO",123,1
"IL2","CD45RO",124,1
"IL2","CD45RO",125,1
"IL2","CD45RO",126,1
"IL2","CD45RO",127,1
"IL2","CD45RO",128,1
"IL2","CD45RO",129,1
"IL2","CD45RO",130,1
"IL2","CD45RO",131,1
"IL2","CD45RO",132,1
"IL2","CD45RO",133,1
"IL2","CD45RO",134,1
